AAPL,ABBV,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AVGO,AXP,BA,BAC,BK,BKNG,BLK,BMY,BRK-B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DOW,DUK,EMR,F,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,INTU,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,META,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TSLA,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
37.75009536743164,68.69937133789062,62.95307922363281,129.5287628173828,224.57000732421875,33.94607162475586,18.829999923706055,161.14602661132812,137.2759246826172,76.95649719238281,21.249961853027344,88.26160430908203,314.6451416015625,21.671215057373047,39.95998764038086,1709.3973388671875,335.2022399902344,42.96100616455078,202.8000030517578,43.39213943481445,110.51631927490234,287.989990234375,51.64191436767578,30.117420196533203,69.54660034179688,51.862998962402344,186.59786987304688,134.95089721679688,36.016170501708984,55.11064910888672,86.03462219238281,136.7579803466797,87.11370849609375,106.81184387207033,37.26889419555664,66.87228393554688,51.782737731933594,6.017154216766357,147.879638671875,136.89564514160156,37.70199966430664,50.22484588623047,31.160438537597656,52.16439056396485,52.6037483215332,149.87844848632812,149.570556640625,117.0771026611328,83.94775390625,40.51805114746094,187.11325073242188,109.02300262451172,83.85518646240234,33.117305755615234,39.25301742553711,143.89553833007812,105.46995544433594,227.1916351318359,83.06254577636719,183.7307281494141,154.0401611328125,35.259666442871094,75.96131896972656,34.01169204711914,135.272705078125,126.86042785644533,31.274715423583984,60.73030471801758,33.66599655151367,95.50132751464844,37.10420227050781,267.6600036621094,69.54106140136719,3.3783228397369385,41.2524299621582,92.70326232910156,32.436317443847656,78.93597412109375,49.55121612548828,85.75,49.80550765991211,59.164306640625,57.08966064453125,38.23323822021485,34.55846405029297,119.2712173461914,14.248021125793455,57.77043914794922,216.39210510253903,64.26263427734375,20.67466735839844,80.46736145019531,223.32861328125,121.49959564208984,79.99334716796875,37.06692123413086,127.7314453125,41.426788330078125,39.73308181762695,28.355379104614254,52.61128616333008
33.989898681640625,66.43582916259766,59.98203659057617,125.10640716552734,215.6999969482422,33.20066833496094,17.049999237060547,158.69398498535156,138.09922790527344,75.01399993896484,19.35975456237793,86.53878021240234,302.1005554199219,21.32391929626465,39.16919708251953,1651.2359619140625,325.35504150390625,37.262603759765625,191.66000366210935,42.605838775634766,106.25763702392578,287.5,51.39786911010742,30.35401153564453,68.55643463134766,50.88106155395508,182.642822265625,129.8236541748047,34.706336975097656,54.816524505615234,84.38684844970703,133.0181427001953,84.61730194091797,104.22412872314452,37.26889419555664,66.84860229492188,50.66474533081055,5.925755023956299,142.44253540039062,133.50941467285156,37.74882888793945,51.65781784057617,29.872892379760746,50.67854309082031,51.1468505859375,147.6829376220703,146.2739715576172,115.51407623291016,82.27185821533203,38.289039611816406,181.3883056640625,107.29061126708984,82.6634521484375,33.09437942504883,39.010467529296875,139.4010467529297,102.1923828125,221.4846038818359,82.07232666015625,175.4418487548828,153.02516174316406,35.127079010009766,73.82728576660156,33.358726501464844,131.34454345703125,122.08365631103516,31.103469848632812,59.485015869140625,33.06601333618164,91.98800659179688,37.012447357177734,271.20001220703125,68.31100463867188,3.1742143630981445,40.85102844238281,91.83799743652344,31.52883529663086,78.38250732421875,48.91075134277344,82.08999633789062,48.33042526245117,56.5311279296875,54.61327362060547,37.44244766235352,35.048545837402344,119.17002868652344,14.26731300354004,56.97917175292969,209.2421417236328,64.02629089355469,20.02400016784668,75.7219467163086,217.2384033203125,117.00220489501952,77.7221908569336,36.54710388183594,123.12841033935548,41.57469177246094,39.41988754272461,28.209562301635746,51.80350112915039
35.44090270996094,68.57618713378906,61.694000244140625,129.97100830078125,226.19000244140625,34.42588424682617,19.0,164.1187286376953,138.65097045898438,78.76950073242188,19.55002784729004,90.4382781982422,317.8226013183594,22.20952033996582,40.30490493774414,1705.2769775390625,337.26806640625,38.724365234375,195.1999969482422,44.68912124633789,112.06414031982422,302.739990234375,51.87724304199219,31.37925148010254,71.59899139404297,52.165771484375,187.9466857910156,137.3502655029297,36.26968765258789,56.15268325805664,86.13567352294922,140.0637969970703,87.07035064697266,107.43917083740234,37.26889419555664,67.40126037597656,51.75672912597656,6.154253959655762,149.00328063964844,137.33961486816406,38.54503631591797,54.03288650512695,30.873287200927734,53.40434646606445,53.770355224609375,152.50958251953125,150.62026977539062,119.55487823486328,85.48518371582031,40.63854217529297,188.5853729248047,109.09129333496094,85.71087646484375,33.996055603027344,39.788330078125,143.37374877929688,105.26799011230467,227.45765686035156,84.5029067993164,183.7500762939453,155.98245239257812,36.09939193725586,76.14276123046875,34.509586334228516,137.535888671875,127.10621643066406,31.90262031555176,61.276641845703125,34.415985107421875,96.26631927490234,37.694095611572266,297.57000732421875,70.0950698852539,3.3775789737701416,42.6116943359375,93.7212371826172,32.248809814453125,79.98230743408203,51.20021438598633,86.2699966430664,49.11134338378906,58.465030670166016,56.42396545410156,39.02401351928711,35.341007232666016,120.9842758178711,14.633882522583008,57.76174545288086,218.69976806640625,66.45854187011719,21.179332733154297,79.1468276977539,219.7790679931641,121.50841522216795,80.42948150634766,37.45078659057617,128.43296813964844,41.678218841552734,40.588016510009766,28.385759353637695,53.713478088378906
35.36201477050781,69.57707977294922,62.61792755126953,130.42245483398438,229.2599945068359,34.6229362487793,20.56999969482422,166.32725524902344,139.50926208496094,81.47550201416016,19.94819068908691,90.92916870117188,318.8233947753906,22.192161560058594,40.212364196777344,1699.587890625,338.2063903808594,39.97967147827149,196.91000366210935,45.07821273803711,112.13411712646484,301.4700012207031,52.19101333618164,31.04627227783203,71.99507141113281,51.936641693115234,188.6392364501953,141.5914306640625,36.51476287841797,57.65692138671875,87.25491333007812,142.3539276123047,87.42573547363281,108.37035369873048,37.26889419555664,67.11703491210938,52.146724700927734,6.31420373916626,151.08749389648438,138.1056365966797,40.933597564697266,54.27830123901367,31.827367782592773,53.288631439208984,53.663124084472656,153.3546905517578,153.58721923828125,120.220947265625,86.0899887084961,40.82786560058594,191.46226501464844,108.39152526855467,85.77046966552734,34.63792037963867,39.26975631713867,143.24559020996094,105.83719635009766,230.066650390625,86.10527038574219,185.16384887695312,157.67982482910156,36.34688186645508,71.23533630371094,34.7299690246582,137.63560485839844,126.81389617919922,30.938560485839844,60.60176467895508,34.75764083862305,96.38909149169922,37.63947296142578,315.3399963378906,71.09977722167969,3.5563900470733643,43.286766052246094,92.91535949707033,32.42129898071289,79.66238403320312,49.63219451904297,86.93000030517578,48.97251892089844,58.43772888183594,56.42396545410156,39.29986572265625,35.261959075927734,122.25640106201172,14.899163246154783,60.587650299072266,221.6485595703125,67.39402770996094,22.33066749572754,80.50994110107422,220.200927734375,122.26679229736328,80.15795135498047,37.274845123291016,130.74884033203125,41.94443130493164,40.32561874389648,28.71992301940918,53.99280548095703
36.0361328125,69.90045166015625,61.86612319946289,133.72073364257812,232.67999267578125,34.760032653808594,20.75,168.46017456054688,141.0857696533203,82.8290023803711,19.788087844848633,91.37378692626952,330.89190673828125,22.148744583129883,40.06093215942383,1674.8658447265625,342.51019287109375,39.632808685302734,196.30999755859375,44.95661163330078,113.48082733154295,300.7099914550781,52.77498626708984,31.30038833618164,72.03104400634766,52.63218688964844,190.0517120361328,145.07595825195312,36.81052017211914,57.58968353271485,86.87405395507812,144.90248107910156,89.6534194946289,109.21331787109376,37.26889419555664,67.96182250976562,52.58005142211914,6.375136852264404,151.35031127929688,138.11434936523438,40.090572357177734,53.906211853027344,32.244197845458984,53.68216323852539,54.13445663452149,152.78839111328125,154.3246307373047,119.9723129272461,87.31411743164062,41.086055755615234,196.05181884765625,110.9090576171875,85.6087417602539,34.668487548828125,39.71305084228515,144.76507568359375,106.81036376953124,231.6027679443359,87.8876724243164,186.51217651367188,158.01226806640625,37.195457458496094,71.73646545410156,34.909523010253906,142.10214233398438,127.34539031982422,31.11614990234375,61.05169296264648,34.54098892211914,97.08796691894533,37.914756774902344,320.2699890136719,72.04814147949219,3.4678525924682617,43.67904281616211,93.80606079101562,32.571285247802734,79.9563980102539,49.963470458984375,88.69999694824219,48.54734420776367,59.4920768737793,56.46833801269531,39.7963981628418,36.26583480834961,125.17658996582033,15.087272644042969,60.52678680419922,226.8063812255859,66.73426055908203,22.356666564941406,80.40769958496094,223.14517211914065,132.93701171875,80.16615295410156,37.514774322509766,131.45997619628906,43.172000885009766,40.24095916748047,28.92042350769043,54.385379791259766
36.648075103759766,67.6061019897461,62.89872741699219,134.39332580566406,235.42999267578125,35.265525817871094,20.190000534057617,168.2586669921875,139.8507843017578,82.97100067138672,20.643918991088867,91.54049682617188,334.0984802246094,22.36581039428711,40.1787109375,1637.7032470703125,344.47271728515625,38.963871002197266,196.3699951171875,45.70238494873047,113.91804504394533,297.6400146484375,53.42868423461914,31.59832191467285,72.5261459350586,54.37513732910156,191.28195190429688,145.34475708007812,36.60770797729492,55.49721145629883,88.0399398803711,142.51084899902344,90.45954132080078,110.43856048583984,37.26889419555664,66.95911407470703,53.21271514892578,6.641719341278076,154.5853729248047,140.06430053710938,39.80957794189453,53.787452697753906,32.58692169189453,53.60136413574219,53.94891357421875,153.74673461914062,155.92091369628906,120.53179168701172,87.94076538085938,41.31840896606445,195.4442443847656,110.0300521850586,85.46402740478516,34.4850959777832,38.951908111572266,145.04884338378906,107.60912322998048,232.17776489257812,87.34757232666016,189.89747619628903,157.74105834960938,37.062862396240234,72.83372497558594,35.505367279052734,143.79702758789062,127.75730895996094,31.4967041015625,60.585697174072266,34.782649993896484,98.4762954711914,37.75090026855469,319.9599914550781,71.91670227050781,3.5360538959503174,43.58781433105469,91.1847915649414,32.5037956237793,78.65060424804688,49.992919921875,89.55000305175781,49.12002944946289,59.72153091430664,56.69911193847656,40.3021354675293,35.95756530761719,125.35006713867188,14.838440895080566,61.11805725097656,233.1279296875,66.68502807617188,22.568666458129883,81.99237060546875,223.46615600585935,132.59312438964844,80.57760620117188,37.91461563110352,133.00717163085938,42.6287727355957,40.46104049682617,28.82624626159668,54.672245025634766
36.76522445678711,67.90635681152344,62.57261657714844,135.45291137695312,237.77000427246097,35.48829650878906,19.739999771118164,170.19842529296875,141.76011657714844,82.81099700927734,20.915502548217773,91.01255798339844,342.6299743652344,22.33975601196289,39.93474960327149,1665.3443603515625,343.87884521484375,39.40983581542969,196.5800018310547,45.75102233886719,116.27039337158205,292.6700134277344,53.88191604614258,31.38800811767578,71.9680404663086,55.59438705444336,191.9563751220703,146.39012145996094,36.54010772705078,55.08544158935547,88.17985534667969,146.93402099609375,91.32634735107422,110.56599426269533,37.26889419555664,67.3222885131836,53.82803726196289,6.603635787963867,154.15948486328125,141.39617919921875,41.87029647827149,53.86662292480469,32.17008590698242,53.38539505004883,53.80826187133789,153.33726501464844,155.33966064453125,122.3345947265625,88.74227142333984,41.79176712036133,198.7231903076172,110.69568634033205,85.45550537109375,34.844234466552734,39.370121002197266,148.15196228027344,106.44313049316406,238.15081787109375,86.40235137939453,191.04205322265625,158.84349060058594,37.425270080566406,73.30025482177734,35.39927291870117,143.76712036132812,128.62100219726562,30.989301681518555,59.83852767944336,34.71598815917969,97.84353637695312,38.31893539428711,324.6600036621094,71.75704956054688,3.6017749309539795,43.62431335449219,91.7446746826172,31.73133087158203,78.84086608886719,50.16958999633789,90.6999969482422,49.28489303588867,60.316993713378906,56.974266052246094,40.19178771972656,36.62943649291992,125.2994384765625,14.986332893371582,59.3790397644043,235.5638427734375,66.92135620117188,22.99799919128418,83.25325012207031,224.59434509277344,136.385009765625,81.39228057861328,37.83464431762695,133.2570037841797,43.03974914550781,40.41872024536133,28.847515106201172,54.39292907714844
36.40426254272461,67.99105072021484,62.799076080322266,134.7250213623047,237.5500030517578,35.69392395019531,20.270000457763672,168.418212890625,141.35723876953125,82.02799987792969,21.003520965576172,91.28114318847656,342.91180419921875,22.60023307800293,40.44791412353515,1653.986083984375,342.51019287109375,39.632808685302734,196.2899932861328,45.95368194580078,115.5183563232422,294.5400085449219,54.12594985961914,31.221515655517575,72.85921478271484,54.3260498046875,191.837890625,146.8978729248047,36.75136947631836,55.303932189941406,87.47256469726562,146.1583709716797,91.2396469116211,110.41896057128906,37.26889419555664,66.80123138427734,53.750038146972656,6.717885494232178,154.94786071777344,142.5974578857422,41.87029647827149,53.96163558959961,34.43950653076172,52.73000717163086,53.092037200927734,154.14752197265625,155.64328002929688,121.98824310302734,88.5018081665039,42.110198974609375,198.8099670410156,110.72984313964844,85.04692840576172,34.85187911987305,39.59596252441406,146.6507568359375,106.66348266601562,238.34825134277344,87.59061431884766,190.02357482910156,159.5609130859375,37.328033447265625,73.30025482177734,35.6849365234375,143.3683319091797,127.69751739501952,31.01467514038086,60.17597198486328,34.782649993896484,97.08796691894533,38.38885116577149,337.5899963378906,71.4002456665039,3.691056728363037,44.05307388305664,91.75315856933594,32.15880584716797,79.35970306396484,51.16340255737305,90.6500015258789,49.89226531982422,60.065704345703125,56.565975189208984,40.292930603027344,36.84285354614258,124.5766372680664,15.21802806854248,60.52678680419922,236.6881103515625,67.94547271728516,23.15066719055176,83.99443817138672,227.1625061035156,135.10635375976562,80.56938934326172,37.93861389160156,132.6708221435547,43.35358047485352,40.52029800415039,28.811059951782227,54.1437873840332
35.85684585571289,66.05825805664062,62.12566757202149,133.5272674560547,234.55999755859375,35.9852409362793,20.229999542236328,165.2439727783203,141.35723876953125,80.8604965209961,21.028663635253903,91.17925262451172,340.44366455078125,22.895429611206055,40.73393630981445,1680.783203125,341.22772216796875,39.61629486083984,195.77999877929688,47.76944732666016,115.25598907470705,291.55999755859375,53.69888687133789,31.344207763671875,73.27330017089844,53.68777084350586,190.46180725097656,145.4044952392578,36.51476287841797,54.90896224975586,86.83519744873047,145.35499572753906,90.22551727294922,110.19351959228516,37.26889419555664,66.05117797851562,53.46403884887695,6.847369194030762,155.45533752441406,143.22425842285156,41.68296432495117,53.24119567871094,34.884124755859375,52.106536865234375,52.44563674926758,155.70703125,155.12277221679688,122.21028137207033,87.72218322753906,41.611026763916016,197.84555053710935,109.47532653808594,85.92369842529297,35.34092330932617,39.43703842163086,144.64613342285156,105.28634643554688,238.15945434570312,87.23953247070312,189.56765747070312,158.55471801757812,37.54901885986328,73.22248077392578,35.88898849487305,144.9535675048828,127.6709442138672,30.6087646484375,58.94673538208008,35.39930725097656,96.37964630126952,37.410064697265625,332.94000244140625,71.44719696044922,3.730985164642334,43.95272064208984,91.04058074951172,31.776321411132812,78.82356262207031,51.25174331665039,90.43000030517578,49.7187385559082,60.557373046875,56.24644088745117,40.2745361328125,36.48715591430664,123.41295623779295,15.094781875610352,59.85725784301758,231.7965545654297,66.87212371826172,22.293333053588867,82.06901550292969,227.5201873779297,135.7059783935547,81.58153533935547,38.2185173034668,131.74830627441406,43.361045837402344,40.985843658447266,28.844472885131836,54.07584381103515
36.59071350097656,66.63497924804688,64.12767028808594,135.33306884765625,242.36000061035156,36.370792388916016,20.3799991607666,167.42730712890625,142.80235290527344,83.72799682617188,21.49974822998047,90.762451171875,342.2704772949219,23.05171585083008,41.56678771972656,1686.174560546875,344.9203186035156,41.06155014038086,196.94000244140625,49.75545501708984,114.28531646728516,294.0,54.23055267333984,31.39677619934082,73.38129425048828,54.03146743774414,192.31179809570312,148.53062438964844,37.199256896972656,53.56439208984375,87.14611053466797,145.02255249023438,91.04896545410156,109.54659271240234,37.26889419555664,67.21965789794922,53.31671142578125,6.733119010925293,154.6216278076172,142.0142364501953,40.88676834106445,54.246639251708984,34.7822380065918,53.725555419921875,54.191314697265625,156.7437744140625,153.09274291992188,122.35237884521484,88.69856262207031,41.82618713378906,202.3396453857422,110.3969955444336,86.55360412597656,35.84524154663086,39.788330078125,143.92294311523438,107.4989242553711,236.86355590820312,85.43911743164062,190.62503051757812,158.3797607421875,37.955623626708984,74.32839965820312,35.96245193481445,148.5028839111328,125.5250473022461,30.386764526367188,59.85459899902344,35.732627868652344,99.17516326904295,38.17255783081055,354.6400146484375,73.12798309326172,3.7168493270874023,44.309906005859375,92.45726776123048,32.04631805419922,79.56725311279297,51.899566650390625,91.5999984741211,48.35645294189453,60.672088623046875,56.87664031982422,40.68832778930664,36.98514175415039,123.76709747314452,15.084924697875977,59.30946731567383,232.2206268310547,66.1138916015625,22.961999893188477,83.17656707763672,235.6007080078125,134.46261596679688,80.28135681152344,38.36245346069336,131.97891235351562,43.41334533691406,40.35100173950195,29.239398956298828,54.10605239868164
